id,route_link,busname,bustype,departing_time,duration,reaching_time,star_rating,price,seats_available,route_name
1,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 1468,RAJDHANI (A.C. Semi Sleeper),12:40,04h 30m,17:10,2.7,480,37,vijayawada-to-hyderabad
2,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 1547,RAJDHANI (A.C. Semi Sleeper),13:00,06h 10m,19:10,1.7,480,37,vijayawada-to-hyderabad
3,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 9945,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",13:00,06h 10m,19:10,2.7,396,32,vijayawada-to-hyderabad
4,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 18762,eGARUDA,13:30,06h 25m,19:55,3.7,533,33,vijayawada-to-hyderabad
5,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 40331,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",13:40,04h 50m,18:30,3.3,396,32,vijayawada-to-hyderabad
6,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 1600,RAJDHANI (A.C. Semi Sleeper),14:00,05h 40m,19:40,2.7,480,37,vijayawada-to-hyderabad
7,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 1432,RAJDHANI (A.C. Semi Sleeper),14:20,04h 55m,19:15,2.2,480,37,vijayawada-to-hyderabad
8,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 40362,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",14:20,06h 10m,20:30,2.9,396,33,vijayawada-to-hyderabad
9,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 1402,RAJDHANI (A.C. Semi Sleeper),14:40,04h 50m,19:30,2.1,480,36,vijayawada-to-hyderabad
10,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 40562,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",14:50,06h 10m,21:00,3.3,396,33,vijayawada-to-hyderabad
11,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 30162,GARUDA PLUS (VOLVO / BENZ A.C Multi Axle),15:00,06h 00m,21:00,3.8,533,41,vijayawada-to-hyderabad
12,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 1426,RAJDHANI (A.C. Semi Sleeper),15:20,04h 50m,20:10,1.7,480,37,vijayawada-to-hyderabad
13,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 30362,RAJDHANI (A.C. Semi Sleeper),15:30,06h 30m,22:00,2.8,480,35,vijayawada-to-hyderabad
14,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 40310,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",15:30,06h 10m,21:40,3.9,396,31,vijayawada-to-hyderabad
15,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 1102,RAJDHANI (A.C. Semi Sleeper),15:40,06h 00m,21:40,2.9,480,37,vijayawada-to-hyderabad
16,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 40531,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",15:50,05h 00m,20:50,4.4,396,33,vijayawada-to-hyderabad
17,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 12962,eGARUDA,16:00,06h 10m,22:10,3.8,533,35,vijayawada-to-hyderabad
18,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 40762,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",16:10,06h 10m,22:20,2.7,396,33,vijayawada-to-hyderabad
19,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 40510,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",16:30,06h 10m,22:40,2.5,396,32,vijayawada-to-hyderabad
20,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 1344,GARUDA PLUS (VOLVO / BENZ A.C Multi Axle),16:40,05h 55m,22:35,3.4,533,39,vijayawada-to-hyderabad
21,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 40130,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",16:50,04h 50m,21:40,3.4,396,29,vijayawada-to-hyderabad
22,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 12162,eGARUDA,17:00,06h 10m,23:10,3.6,533,35,vijayawada-to-hyderabad
